treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
0,0.547504564972857,0.9295099324320526,0.38200536745919556,7.1654031161765546e-183,gray,No
11,0.8727742738651957,0.7424126022187214,-0.13036167164647428,1.6799328144606502e-65,gray,No
13,0.8063718018745515,0.9233005554033012,0.11692875352874976,7.853798965046728e-115,gray,No
16,0.8059273068621645,0.8589726914635634,0.05304538460139885,4.0629563692772227e-53,gray,No
18,0.6632484535776292,0.9120152461686181,0.24876679259098888,9.546974496912802e-140,gray,No
19,0.8467775713470851,0.7677791691006228,-0.07899840224646226,1.101128220797379e-46,gray,No
20,0.8756986645748571,0.8935820464540639,0.017883381879206794,1.0335906447752456e-20,gray,No
21,0.8752170759826975,0.7424570289438175,-0.13276004703888,2.826974389184854e-61,gray,No
22,0.7945973341024213,0.922751544584625,0.12815421048220377,3.071035540110445e-118,gray,No
28,0.8704994887573257,0.911664983004838,0.04116549424751226,7.332852981873224e-70,gray,No
29,0.7723263709425098,0.856537248881864,0.08421087793935422,5.487038489111032e-67,gray,No
31,0.9651150975502836,0.8125643244541991,-0.15255077309608445,1.1980282658298038e-79,gray,No
35,0.9406359636740124,0.8857791380150851,-0.054856825658927244,7.882190607305337e-54,gray,No
36,0.8459880690619258,0.7553683260813763,-0.09061974298054953,3.712520767470117e-45,gray,No
38,0.9491474601723029,0.7352497499671337,-0.21389771020516923,8.474043199954957e-88,gray,No
41,0.7820137927777857,0.8621752542235932,0.08016146144580749,5.961743957546173e-66,gray,No
43,0.7283566467382786,0.8664453021631511,0.13808865542487248,7.520053468359413e-91,gray,No
44,0.7064579397547704,0.8568259890080854,0.15036804925331493,1.8900926728631217e-98,gray,No
49,0.7559856504611263,0.8752184753201041,0.11923282485897779,8.77114713633453e-89,gray,No
50,0.3872770290823203,0.9331125012729822,0.5458354721906619,9.248280066183034e-203,gray,No
52,0.8460143679988987,0.9038967352155204,0.057882367216621655,9.728832367224626e-70,gray,No
53,0.5133729659823434,0.9179119996411121,0.40453903365876875,1.3740351284805606e-159,gray,No
54,0.8848076913467379,0.762222036731632,-0.12258565461510584,3.205331148619489e-64,gray,No
56,0.6988757712208606,0.8439353234685896,0.14505955224772893,6.855908521817534e-86,gray,No
57,0.8199620870583829,0.8370463680302214,0.01708428097183845,1.8587220360831753e-11,gray,No
58,0.8819800450534148,0.9097201234503909,0.02774007839697612,3.505536019610722e-50,gray,No
61,0.9193282336229598,0.7581200962703696,-0.1612081373525902,1.0781050398807767e-74,gray,No
63,0.6756431027897175,0.8237740999345178,0.14813099714480027,1.1106357116816968e-87,gray,No
