treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
0,0.547504564972857,0.9295099324320526,0.38200536745919556,3.5827015580882773e-183,#B02425,Yes
13,0.8063718018745515,0.9233005554033012,0.11692875352874976,3.926899482523364e-115,#B02425,No
18,0.6632484535776292,0.9120152461686181,0.24876679259098888,4.773487248456401e-140,#B02425,No
22,0.7945973341024213,0.922751544584625,0.12815421048220377,1.5355177700552225e-118,#B02425,No
29,0.7723263709425098,0.856537248881864,0.08421087793935422,2.743519244555516e-67,#B02425,No
41,0.7820137927777857,0.8621752542235932,0.08016146144580749,2.9808719787730863e-66,#B02425,No
43,0.7283566467382786,0.8664453021631511,0.13808865542487248,3.7600267341797063e-91,#B02425,No
44,0.7064579397547704,0.8568259890080854,0.15036804925331493,9.450463364315609e-99,#B02425,No
49,0.7559856504611263,0.8752184753201041,0.11923282485897779,4.385573568167265e-89,#B02425,No
50,0.3872770290823203,0.9331125012729822,0.5458354721906619,4.624140033091517e-203,#B02425,No
53,0.5133729659823434,0.9179119996411121,0.40453903365876875,6.870175642402803e-160,#B02425,No
56,0.6988757712208606,0.8439353234685896,0.14505955224772893,3.427954260908767e-86,#B02425,No
63,0.6756431027897175,0.8237740999345178,0.14813099714480027,5.553178558408484e-88,#B02425,No
68,0.6310448931334072,0.8354690328259646,0.20442413969255746,2.34939813018791e-108,#B02425,No
75,0.6792372487002704,0.9067167256108821,0.22747947691061177,3.0332764932014225e-135,#B02425,No
84,0.7324131026364695,0.9231101164207121,0.19069701378424253,7.61312832452409e-132,#B02425,No
94,0.7187962683446881,0.9267617319621954,0.20796546361750723,5.246774856691554e-147,#B02425,No
95,0.8072768961567252,0.9314544898893939,0.12417759373266879,7.201593650338963e-134,#B02425,No
98,0.5760113085839826,0.9215965799220036,0.34558527133802097,2.5475768350751825e-163,#B02425,No
106,0.60791080573871,0.9109621298275354,0.3030513240888254,1.518917585600354e-147,#B02425,No
108,0.6259227831357106,0.9400509581682915,0.31412817503258095,4.456953138546761e-198,#B02425,No
113,0.7814858673786201,0.886570425339285,0.10508455796066485,3.1161571810512093e-79,#B02425,No
123,0.6585222865487182,0.9317460099777761,0.2732237234290579,2.0974519952848056e-172,#B02425,No
128,0.8156915588805015,0.929282714215575,0.11359115533507347,2.895235017777034e-128,#B02425,No
132,0.6846619337192162,0.9017486273974685,0.21708669367825228,7.21091962644315e-127,#B02425,No
135,0.7663580408579124,0.9086651856614962,0.14230714480358386,7.96384790816546e-115,#B02425,No
158,0.7901907865475125,0.9140129575320667,0.12382217098455417,3.758205991170672e-108,#B02425,No
162,0.6282986767705274,0.834178911696806,0.2058802349262786,1.1718667646301135e-102,#B02425,No
166,0.6847696327967133,0.8947363698099977,0.2099667370132844,5.1528638502636915e-121,#B02425,No
170,0.7993920170004885,0.8999991871291384,0.10060717012864995,1.694973471142495e-95,#B02425,No
171,0.7957115931302576,0.9015729713102445,0.10586137817998686,5.455980291580788e-101,#B02425,No
181,0.7536632900424032,0.8389075885828722,0.085244298540469,1.730664616539553e-67,#B02425,No
184,0.5653971035841949,0.8107916858291727,0.2453945822449778,1.3208615927235312e-95,#B02425,No
186,0.770780566726818,0.9125717974165429,0.14179123068972488,1.0831920759734155e-116,#B02425,No
187,0.8152296160729113,0.9173420450979544,0.10211242902504303,6.8019789638283e-104,#B02425,No
188,0.6764711594269441,0.8855532041069317,0.2090820446799876,2.3604999486754317e-117,#B02425,No
202,0.8196114725496018,0.9339809886925668,0.11436951614296509,9.86297275803812e-139,#B02425,No
208,0.715502097875517,0.8476670268144676,0.1321649289389506,1.2407119050999754e-92,#B02425,No
212,0.6805136649510707,0.9392218012108227,0.258708136259752,2.4705402739048093e-183,#B02425,No
216,0.721725292867792,0.8420105482806508,0.12028525541285884,1.7481216141799682e-77,#B02425,No
221,0.8050258531908625,0.9389912647630411,0.13396541157217856,3.3891731041268974e-153,#B02425,No
223,0.6470986427299563,0.8830468557715296,0.23594821304157332,4.732725571543428e-119,#B02425,No
225,0.7211842170676208,0.7993020858140782,0.07811786874645743,3.233891808164668e-56,#B02425,No
229,0.6625956918652774,0.8320888982927788,0.16949320642750132,1.132874255958546e-92,#B02425,No
237,0.4190958708758832,0.9286391907615303,0.5095433198856472,1.3456680113694443e-189,#B02425,No
249,0.7619030965646395,0.9329069488101783,0.17100385224553882,6.85339580584604e-152,#B02425,No
251,0.5633396326373645,0.8374440813094034,0.27410444867203887,8.065539914344546e-116,#B02425,No
267,0.6318979989874498,0.9133005282813248,0.281402529293875,4.491994847883905e-153,#B02425,No
278,0.7042469826905223,0.941254403978284,0.23700742128776164,5.520813936756713e-175,#B02425,No
279,0.5795977038562032,0.9157417634844052,0.33614405962820193,4.092805602058442e-155,#B02425,No
284,0.7054966180540129,0.8414898266586945,0.13599320860468167,3.6757292232094606e-82,#B02425,No
297,0.7810503408526112,0.9368038629508938,0.15575352209828264,2.4184259035100064e-162,#B02425,No
304,0.7100353618432924,0.9120047265424218,0.2019693646991294,1.7767221446672861e-131,#B02425,No
309,0.7923485556294477,0.8735501923883856,0.08120163675893788,2.7686433826238837e-75,#B02425,No
