treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
0,0.547504564972857,0.9295099324320526,0.38200536745919556,1.0,gray,No
13,0.8063718018745515,0.9233005554033012,0.11692875352874976,1.0,gray,No
16,0.8059273068621645,0.8589726914635634,0.05304538460139885,1.0,gray,No
18,0.6632484535776292,0.9120152461686181,0.24876679259098888,1.0,gray,No
19,0.8467775713470851,0.7677791691006228,-0.07899840224646226,5.505641103986895e-47,gray,No
20,0.8756986645748571,0.8935820464540639,0.017883381879206794,1.0,gray,No
22,0.7945973341024213,0.922751544584625,0.12815421048220377,1.0,gray,No
28,0.8704994887573257,0.911664983004838,0.04116549424751226,1.0,gray,No
29,0.7723263709425098,0.856537248881864,0.08421087793935422,1.0,gray,No
35,0.9406359636740124,0.8857791380150851,-0.054856825658927244,3.9410953036526684e-54,gray,No
41,0.7820137927777857,0.8621752542235932,0.08016146144580749,1.0,gray,No
43,0.7283566467382786,0.8664453021631511,0.13808865542487248,1.0,gray,No
44,0.7064579397547704,0.8568259890080854,0.15036804925331493,1.0,gray,No
49,0.7559856504611263,0.8752184753201041,0.11923282485897779,1.0,gray,No
50,0.3872770290823203,0.9331125012729822,0.5458354721906619,1.0,gray,No
52,0.8460143679988987,0.9038967352155204,0.057882367216621655,1.0,gray,No
53,0.5133729659823434,0.9179119996411121,0.40453903365876875,1.0,gray,No
56,0.6988757712208606,0.8439353234685896,0.14505955224772893,1.0,gray,No
57,0.8199620870583829,0.8370463680302214,0.01708428097183845,0.9999999999907063,gray,No
58,0.8819800450534148,0.9097201234503909,0.02774007839697612,1.0,gray,No
63,0.6756431027897175,0.8237740999345178,0.14813099714480027,1.0,gray,No
68,0.6310448931334072,0.8354690328259646,0.20442413969255746,1.0,gray,No
70,0.9044090808646431,0.9280616726951085,0.02365259183046542,1.0,gray,No
75,0.6792372487002704,0.9067167256108821,0.22747947691061177,1.0,gray,No
79,0.801070190951834,0.8091777087121601,0.008107517760326144,0.999510763514934,gray,No
81,0.794525576405602,0.7622248449318697,-0.03230073147373225,3.9981200120154976e-16,gray,No
82,0.8241108031639947,0.7628018892298194,-0.06130891393417526,8.018080776692362e-36,gray,No
83,0.7784161236239665,0.8342802394739024,0.05586411584993589,1.0,gray,No
84,0.7324131026364695,0.9231101164207121,0.19069701378424253,1.0,gray,No
85,0.871962014630959,0.8254267698390712,-0.046535244791887864,2.4211651243513184e-41,gray,No
86,0.822053176642477,0.7555481281554944,-0.06650504848698258,1.276594345294554e-42,gray,No
87,0.7847195823315937,0.7586036014817588,-0.026115980849834908,2.880477361667979e-15,gray,No
88,0.7888285295466622,0.7805654603033974,-0.008263069243264809,0.006130181843014256,gray,No
89,0.7654897609138692,0.8210007642177959,0.055511003303926665,1.0,gray,No
90,0.7960200136703305,0.7702757554046219,-0.025744258265708586,2.481579753996407e-16,gray,No
91,0.7875236349910676,0.7353310445076765,-0.05219259048339109,4.861760996673941e-29,gray,No
92,0.8563253055470762,0.797827617586766,-0.058497687960310185,3.1283961151435597e-40,gray,No
94,0.7187962683446881,0.9267617319621954,0.20796546361750723,1.0,gray,No
95,0.8072768961567252,0.9314544898893939,0.12417759373266879,1.0,gray,No
98,0.5760113085839826,0.9215965799220036,0.34558527133802097,1.0,gray,No
101,0.8216687641184088,0.763691173751686,-0.05797759036672279,8.286409716039274e-35,gray,No
105,0.8586910629949095,0.9013765938136616,0.04268553081875215,1.0,gray,No
106,0.60791080573871,0.9109621298275354,0.3030513240888254,1.0,gray,No
108,0.6259227831357106,0.9400509581682915,0.31412817503258095,1.0,gray,No
113,0.7814858673786201,0.886570425339285,0.10508455796066485,1.0,gray,No
114,0.9470721887631127,0.938226444920153,-0.008845743842959775,4.2973371794480715e-41,gray,No
121,0.9505865163759073,0.8940609483109911,-0.056525568064916154,7.739883299463329e-64,gray,No
123,0.6585222865487182,0.9317460099777761,0.2732237234290579,1.0,gray,No
128,0.8156915588805015,0.929282714215575,0.11359115533507347,1.0,gray,No
131,0.7994840733749095,0.8276124630386681,0.028128389663758635,1.0,gray,No
132,0.6846619337192162,0.9017486273974685,0.21708669367825228,1.0,gray,No
135,0.7663580408579124,0.9086651856614962,0.14230714480358386,1.0,gray,No
136,0.8208719207242217,0.7602553310632232,-0.06061658966099848,3.0413216671586904e-39,gray,No
137,0.8238331302504684,0.7899186684409788,-0.03391446180948965,1.3753037546566998e-22,gray,No
138,0.8651077859360805,0.8678262805632933,0.002718494627212742,0.9441828665278047,gray,No
141,0.9295730900339794,0.9404398356822735,0.010866745648294152,1.0,gray,No
146,0.7217636966510526,0.7866567956377054,0.06489309898665285,1.0,gray,No
147,0.9661173854488071,0.9172282730970047,-0.04888911235180238,9.048452052952146e-71,gray,No
151,0.8430808845396957,0.9009642422076267,0.05788335766793107,1.0,gray,No
152,0.9636675153447015,0.9002686020850639,-0.06339891325963765,4.988311733026591e-72,gray,No
153,0.7859072379072525,0.7409480054443324,-0.04495923246292011,2.8217062814052015e-24,gray,No
154,0.9088627210293,0.8337380081160081,-0.07512471291329192,2.969642117581934e-56,gray,No
155,0.7539867171344306,0.7578805056014997,0.0038937884670691147,0.890748565755423,gray,No
158,0.7901907865475125,0.9140129575320667,0.12382217098455417,1.0,gray,No
159,0.8881098789047011,0.8942928029973083,0.006182924092607234,0.9999903303030155,gray,No
161,0.826450825928073,0.7485915649191441,-0.07785926100892882,1.0391000901500627e-43,gray,No
162,0.6282986767705274,0.834178911696806,0.2058802349262786,1.0,gray,No
165,0.8752010421590702,0.8284081562547647,-0.046792885904305526,1.7687075231908892e-38,gray,No
166,0.6847696327967133,0.8947363698099977,0.2099667370132844,1.0,gray,No
170,0.7993920170004885,0.8999991871291384,0.10060717012864995,1.0,gray,No
171,0.7957115931302576,0.9015729713102445,0.10586137817998686,1.0,gray,No
172,0.7721039630657788,0.7613416279206122,-0.010762335145166557,3.7679539409433744e-06,gray,No
180,0.891052288411838,0.863565917155215,-0.02748637125662301,4.8481261282608544e-30,gray,No
181,0.7536632900424032,0.8389075885828722,0.085244298540469,1.0,gray,No
184,0.5653971035841949,0.8107916858291727,0.2453945822449778,1.0,gray,No
185,0.8482853879017344,0.8027632778410358,-0.045522110060698506,1.5004573592254983e-33,gray,No
186,0.770780566726818,0.9125717974165429,0.14179123068972488,1.0,gray,No
187,0.8152296160729113,0.9173420450979544,0.10211242902504303,1.0,gray,No
188,0.6764711594269441,0.8855532041069317,0.2090820446799876,1.0,gray,No
196,0.7739673422257248,0.7908162580397815,0.016848915814056675,0.9999999983108144,gray,No
202,0.8196114725496018,0.9339809886925668,0.11436951614296509,1.0,gray,No
204,0.8337813614572438,0.8955921064837783,0.0618107450265345,1.0,gray,No
208,0.715502097875517,0.8476670268144676,0.1321649289389506,1.0,gray,No
212,0.6805136649510707,0.9392218012108227,0.258708136259752,1.0,gray,No
213,0.8669557380095995,0.8162177831157613,-0.050737954893838144,3.992769252310824e-42,gray,No
214,0.8915689142540268,0.8517454301805434,-0.03982348407348346,9.351176975987732e-37,gray,No
216,0.721725292867792,0.8420105482806508,0.12028525541285884,1.0,gray,No
221,0.8050258531908625,0.9389912647630411,0.13396541157217856,1.0,gray,No
223,0.6470986427299563,0.8830468557715296,0.23594821304157332,1.0,gray,No
225,0.7211842170676208,0.7993020858140782,0.07811786874645743,1.0,gray,No
229,0.6625956918652774,0.8320888982927788,0.16949320642750132,1.0,gray,No
236,0.8691575290043507,0.8260228320978862,-0.04313469690646454,3.4124070011027485e-34,gray,No
237,0.4190958708758832,0.9286391907615303,0.5095433198856472,1.0,gray,No
241,0.9616435308626663,0.9185329267364386,-0.04311060412622769,9.514178816720792e-65,gray,No
243,0.959734289958659,0.906588818171863,-0.05314547178679596,1.8437063107119022e-70,gray,No
249,0.7619030965646395,0.9329069488101783,0.17100385224553882,1.0,gray,No
250,0.782359134717668,0.7926614844401704,0.010302349722502324,0.9998651997964331,gray,No
251,0.5633396326373645,0.8374440813094034,0.27410444867203887,1.0,gray,No
252,0.8370831582427586,0.8892539675616448,0.05217080931888618,1.0,gray,No
259,0.8422724742768865,0.8808233904890986,0.03855091621221218,1.0,gray,No
260,0.7773814344536172,0.7889025174509732,0.011521082997355991,0.999995352812443,gray,No
263,0.7924225266958119,0.8213917762805677,0.028969249584755774,1.0,gray,No
265,0.812529495345302,0.8643759018481432,0.051846406502841114,1.0,gray,No
267,0.6318979989874498,0.9133005282813248,0.281402529293875,1.0,gray,No
268,0.8510197002492582,0.8130228173365901,-0.03799688291266812,3.979330932260979e-31,gray,No
269,0.759875521334236,0.7845144130734066,0.024638891739170665,0.9999999999999921,gray,No
273,0.7619341299225567,0.828969861318564,0.06703573139600727,1.0,gray,No
277,0.7962225853947877,0.7804437224982331,-0.015778862896554613,3.794440644214996e-07,gray,No
278,0.7042469826905223,0.941254403978284,0.23700742128776164,1.0,gray,No
279,0.5795977038562032,0.9157417634844052,0.33614405962820193,1.0,gray,No
284,0.7054966180540129,0.8414898266586945,0.13599320860468167,1.0,gray,No
289,0.9430695212452996,0.8974671112316804,-0.0456024100136192,1.3715041342636586e-56,gray,No
294,0.8161690067136207,0.7570153238127856,-0.059153682900835114,1.8417470660726737e-32,gray,No
295,0.9472823343226956,0.9056242638928071,-0.04165807042988845,1.2882553978623493e-60,gray,No
297,0.7810503408526112,0.9368038629508938,0.15575352209828264,1.0,gray,No
298,0.8471224968023134,0.9241477516792148,0.07702525487690137,1.0,gray,No
299,0.9658206625630332,0.9024568314075795,-0.06336383115545374,3.189491817577921e-74,gray,No
302,0.8714328571338636,0.8274321933306144,-0.044000663803249296,1.993920887313534e-34,gray,No
304,0.7100353618432924,0.9120047265424218,0.2019693646991294,1.0,gray,No
308,0.8784573861336492,0.8920964596020816,0.013639073468432406,0.999999999999975,gray,No
309,0.7923485556294477,0.8735501923883856,0.08120163675893788,1.0,gray,No
311,0.9286942904114975,0.9370266592961336,0.008332368884636066,1.0,gray,No
314,0.7873243998443561,0.8046468090376834,0.01732240919332728,0.9999999999941976,gray,No
318,0.8819800450534148,0.9121666131509386,0.030186568097523847,1.0,gray,No
319,0.9241379891884036,0.9396030367902847,0.015465047601881055,1.0,gray,No
320,0.9650655277542969,0.9180088434666961,-0.04705668428760079,1.4335626569103345e-73,gray,No
322,0.8615739696624722,0.8348270179578376,-0.02674695170463459,9.289568200207086e-26,gray,No
325,0.819800490830635,0.8154256838475815,-0.004374806983053481,0.03676084031846508,gray,No
328,0.6846577217754205,0.9243213431294892,0.2396636213540687,1.0,gray,No
329,0.7455496299716816,0.8586181502275039,0.11306852025582226,1.0,gray,No
334,0.8619893429128,0.8472303331751124,-0.014759009737687623,7.107238959674768e-15,gray,No
335,0.8638066274800679,0.8941249067920678,0.03031827931199993,1.0,gray,No
336,0.8666450512324717,0.8317421093405833,-0.03490294189188836,3.676595583161301e-32,gray,No
337,0.8404032337090497,0.8971096493679198,0.056706415658870135,1.0,gray,No
339,0.845221019034505,0.777826339925754,-0.06739467910875097,2.619821157758761e-41,gray,No
340,0.9612023334330801,0.911415504173564,-0.04978682925951616,2.5107605372383314e-70,gray,No
347,0.9563135831558527,0.9060621622462905,-0.05025142090956214,3.4933212889836297e-66,gray,No
348,0.8360523265248517,0.7567546264786891,-0.07929770004616266,9.638461631312033e-47,gray,No
350,0.7839754983834425,0.7879867807984299,0.004011282414987383,0.9073058449456591,gray,No
355,0.8946808668350144,0.89812880343233,0.0034479365973156817,0.9867285271590053,gray,No
359,0.650276980474961,0.9003356288238915,0.25005864834893055,1.0,gray,No
360,0.8506560419990029,0.7996980633501064,-0.05095797864889651,3.474238876246511e-36,gray,No
362,0.7488838824643159,0.9377813998380864,0.18889751737377047,1.0,gray,No
