treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
0,0.547504564972857,0.9295099324320526,0.38200536745919556,1.0,gray,No
11,0.8727742738651957,0.7424126022187214,-0.13036167164647428,8.399664072303251e-66,#FF6100,No
13,0.8063718018745515,0.9233005554033012,0.11692875352874976,1.0,gray,No
16,0.8059273068621645,0.8589726914635634,0.05304538460139885,1.0,gray,No
18,0.6632484535776292,0.9120152461686181,0.24876679259098888,1.0,gray,No
19,0.8467775713470851,0.7677791691006228,-0.07899840224646226,5.505641103986895e-47,gray,No
20,0.8756986645748571,0.8935820464540639,0.017883381879206794,1.0,gray,No
21,0.8752170759826975,0.7424570289438175,-0.13276004703888,1.413487194592427e-61,#FF6100,No
22,0.7945973341024213,0.922751544584625,0.12815421048220377,1.0,gray,No
28,0.8704994887573257,0.911664983004838,0.04116549424751226,1.0,gray,No
29,0.7723263709425098,0.856537248881864,0.08421087793935422,1.0,gray,No
31,0.9651150975502836,0.8125643244541991,-0.15255077309608445,5.990141329149019e-80,#FF6100,No
35,0.9406359636740124,0.8857791380150851,-0.054856825658927244,3.9410953036526684e-54,gray,No
36,0.8459880690619258,0.7553683260813763,-0.09061974298054953,1.8562603837350584e-45,#FF6100,No
38,0.9491474601723029,0.7352497499671337,-0.21389771020516923,4.2370215999774785e-88,#FF6100,No
41,0.7820137927777857,0.8621752542235932,0.08016146144580749,1.0,gray,No
43,0.7283566467382786,0.8664453021631511,0.13808865542487248,1.0,gray,No
44,0.7064579397547704,0.8568259890080854,0.15036804925331493,1.0,gray,No
49,0.7559856504611263,0.8752184753201041,0.11923282485897779,1.0,gray,No
50,0.3872770290823203,0.9331125012729822,0.5458354721906619,1.0,gray,No
52,0.8460143679988987,0.9038967352155204,0.057882367216621655,1.0,gray,No
53,0.5133729659823434,0.9179119996411121,0.40453903365876875,1.0,gray,No
54,0.8848076913467379,0.762222036731632,-0.12258565461510584,1.6026655743097446e-64,#FF6100,No
56,0.6988757712208606,0.8439353234685896,0.14505955224772893,1.0,gray,No
57,0.8199620870583829,0.8370463680302214,0.01708428097183845,0.9999999999907063,gray,No
58,0.8819800450534148,0.9097201234503909,0.02774007839697612,1.0,gray,No
61,0.9193282336229598,0.7581200962703696,-0.1612081373525902,5.390525199403883e-75,#FF6100,No
63,0.6756431027897175,0.8237740999345178,0.14813099714480027,1.0,gray,No
68,0.6310448931334072,0.8354690328259646,0.20442413969255746,1.0,gray,No
70,0.9044090808646431,0.9280616726951085,0.02365259183046542,1.0,gray,No
71,0.9080362280723133,0.7501877390578673,-0.15784848901444604,2.769418803991866e-72,#FF6100,No
75,0.6792372487002704,0.9067167256108821,0.22747947691061177,1.0,gray,No
79,0.801070190951834,0.8091777087121601,0.008107517760326144,0.999510763514934,gray,No
81,0.794525576405602,0.7622248449318697,-0.03230073147373225,3.9981200120154976e-16,gray,No
82,0.8241108031639947,0.7628018892298194,-0.06130891393417526,8.018080776692362e-36,gray,No
83,0.7784161236239665,0.8342802394739024,0.05586411584993589,1.0,gray,No
84,0.7324131026364695,0.9231101164207121,0.19069701378424253,1.0,gray,No
85,0.871962014630959,0.8254267698390712,-0.046535244791887864,2.4211651243513184e-41,gray,No
86,0.822053176642477,0.7555481281554944,-0.06650504848698258,1.276594345294554e-42,gray,No
87,0.7847195823315937,0.7586036014817588,-0.026115980849834908,2.880477361667979e-15,gray,No
88,0.7888285295466622,0.7805654603033974,-0.008263069243264809,0.006130181843014256,gray,No
89,0.7654897609138692,0.8210007642177959,0.055511003303926665,1.0,gray,No
90,0.7960200136703305,0.7702757554046219,-0.025744258265708586,2.481579753996407e-16,gray,No
91,0.7875236349910676,0.7353310445076765,-0.05219259048339109,4.861760996673941e-29,gray,No
92,0.8563253055470762,0.797827617586766,-0.058497687960310185,3.1283961151435597e-40,gray,No
93,0.9624287356941941,0.7596503325713101,-0.20277840312288398,2.966907656288886e-90,#FF6100,No
94,0.7187962683446881,0.9267617319621954,0.20796546361750723,1.0,gray,No
95,0.8072768961567252,0.9314544898893939,0.12417759373266879,1.0,gray,No
97,0.9104324417107763,0.7459578833354189,-0.1644745583753574,7.635722685297094e-71,#FF6100,No
98,0.5760113085839826,0.9215965799220036,0.34558527133802097,1.0,gray,No
101,0.8216687641184088,0.763691173751686,-0.05797759036672279,8.286409716039274e-35,gray,No
105,0.8586910629949095,0.9013765938136616,0.04268553081875215,1.0,gray,No
106,0.60791080573871,0.9109621298275354,0.3030513240888254,1.0,gray,No
108,0.6259227831357106,0.9400509581682915,0.31412817503258095,1.0,gray,No
113,0.7814858673786201,0.886570425339285,0.10508455796066485,1.0,gray,No
114,0.9470721887631127,0.938226444920153,-0.008845743842959775,4.2973371794480715e-41,gray,No
116,0.8705159436821612,0.771401989110871,-0.09911395457129024,1.624999694034761e-57,#FF6100,No
117,0.9404112218340202,0.7476094030126942,-0.19280181882132597,3.481205323525838e-82,#FF6100,No
119,0.9558680718277895,0.7828538063803184,-0.17301426544747112,5.618377555260162e-81,#FF6100,No
120,0.87222933320464,0.7677203064348607,-0.10450902676977936,3.9696213722705676e-56,#FF6100,No
121,0.9505865163759073,0.8940609483109911,-0.056525568064916154,7.739883299463329e-64,gray,No
122,0.9353880728312968,0.777117294345642,-0.15827077848565474,2.076686385457875e-73,#FF6100,No
123,0.6585222865487182,0.9317460099777761,0.2732237234290579,1.0,gray,No
128,0.8156915588805015,0.929282714215575,0.11359115533507347,1.0,gray,No
131,0.7994840733749095,0.8276124630386681,0.028128389663758635,1.0,gray,No
132,0.6846619337192162,0.9017486273974685,0.21708669367825228,1.0,gray,No
135,0.7663580408579124,0.9086651856614962,0.14230714480358386,1.0,gray,No
136,0.8208719207242217,0.7602553310632232,-0.06061658966099848,3.0413216671586904e-39,gray,No
137,0.8238331302504684,0.7899186684409788,-0.03391446180948965,1.3753037546566998e-22,gray,No
138,0.8651077859360805,0.8678262805632933,0.002718494627212742,0.9441828665278047,gray,No
140,0.8776313359768285,0.7469638971713565,-0.13066743880547205,5.929556316273221e-61,#FF6100,No
141,0.9295730900339794,0.9404398356822735,0.010866745648294152,1.0,gray,No
142,0.9684524612033845,0.8295356534207969,-0.13891680778258753,1.5810188919554197e-79,#FF6100,No
146,0.7217636966510526,0.7866567956377054,0.06489309898665285,1.0,gray,No
147,0.9661173854488071,0.9172282730970047,-0.04888911235180238,9.048452052952146e-71,gray,No
150,0.8927992301891304,0.7818099566573045,-0.11098927353182597,6.905963440692879e-67,#FF6100,No
151,0.8430808845396957,0.9009642422076267,0.05788335766793107,1.0,gray,No
152,0.9636675153447015,0.9002686020850639,-0.06339891325963765,4.988311733026591e-72,gray,No
153,0.7859072379072525,0.7409480054443324,-0.04495923246292011,2.8217062814052015e-24,gray,No
154,0.9088627210293,0.8337380081160081,-0.07512471291329192,2.969642117581934e-56,gray,No
155,0.7539867171344306,0.7578805056014997,0.0038937884670691147,0.890748565755423,gray,No
156,0.8876995907302394,0.7604629443325518,-0.1272366463976876,4.737199716566907e-65,#FF6100,No
157,0.9077536708675122,0.7316297761776677,-0.17612389468984457,7.477508696638638e-76,#FF6100,No
158,0.7901907865475125,0.9140129575320667,0.12382217098455417,1.0,gray,No
159,0.8881098789047011,0.8942928029973083,0.006182924092607234,0.9999903303030155,gray,No
160,0.8906612953027409,0.7639099317253297,-0.12675136357741112,8.695574033630731e-68,#FF6100,No
161,0.826450825928073,0.7485915649191441,-0.07785926100892882,1.0391000901500627e-43,gray,No
162,0.6282986767705274,0.834178911696806,0.2058802349262786,1.0,gray,No
164,0.8776313359768285,0.7485571284186231,-0.12907420755820542,4.5818595279807776e-65,#FF6100,No
165,0.8752010421590702,0.8284081562547647,-0.046792885904305526,1.7687075231908892e-38,gray,No
166,0.6847696327967133,0.8947363698099977,0.2099667370132844,1.0,gray,No
167,0.9070914914322871,0.7404600949437432,-0.16663139648854386,3.7853749941780035e-75,#FF6100,No
168,0.8996145109241263,0.7476457359148903,-0.151968775009236,2.9400922208860396e-69,#FF6100,No
169,0.8478729589553872,0.7274660335135917,-0.12040692544179543,6.798531909973757e-62,#FF6100,No
170,0.7993920170004885,0.8999991871291384,0.10060717012864995,1.0,gray,No
171,0.7957115931302576,0.9015729713102445,0.10586137817998686,1.0,gray,No
172,0.7721039630657788,0.7613416279206122,-0.010762335145166557,3.7679539409433744e-06,gray,No
173,0.9140206943682182,0.8055189093948947,-0.10850178497332352,1.044952268724501e-64,#FF6100,No
174,0.8733365266912417,0.7469640278049725,-0.12637249888626922,3.7522300023343565e-61,#FF6100,No
180,0.891052288411838,0.863565917155215,-0.02748637125662301,4.8481261282608544e-30,gray,No
181,0.7536632900424032,0.8389075885828722,0.085244298540469,1.0,gray,No
184,0.5653971035841949,0.8107916858291727,0.2453945822449778,1.0,gray,No
185,0.8482853879017344,0.8027632778410358,-0.045522110060698506,1.5004573592254983e-33,gray,No
186,0.770780566726818,0.9125717974165429,0.14179123068972488,1.0,gray,No
187,0.8152296160729113,0.9173420450979544,0.10211242902504303,1.0,gray,No
188,0.6764711594269441,0.8855532041069317,0.2090820446799876,1.0,gray,No
196,0.7739673422257248,0.7908162580397815,0.016848915814056675,0.9999999983108144,gray,No
201,0.9112693408604686,0.7509733526654856,-0.16029598819498303,5.028416986561121e-74,#FF6100,No
202,0.8196114725496018,0.9339809886925668,0.11436951614296509,1.0,gray,No
204,0.8337813614572438,0.8955921064837783,0.0618107450265345,1.0,gray,No
208,0.715502097875517,0.8476670268144676,0.1321649289389506,1.0,gray,No
212,0.6805136649510707,0.9392218012108227,0.258708136259752,1.0,gray,No
213,0.8669557380095995,0.8162177831157613,-0.050737954893838144,3.992769252310824e-42,gray,No
214,0.8915689142540268,0.8517454301805434,-0.03982348407348346,9.351176975987732e-37,gray,No
216,0.721725292867792,0.8420105482806508,0.12028525541285884,1.0,gray,No
