,gender,age,race,location,risk,workers number,annual turnover,principal,legal status,establish time,credit purchase,funds injections,previous turndown,written plan,regular management account,product or service development,business innovation,loss or profit,credit balance,finance qualification for manager,turnover growth rate,final outcomes,Binary Y,new annual turnover,new workers number,new funds injections,new location,new gender,new establish time,new race,new age,size
0,1,3,1,5,3,2,5,2,4,2,1,3,2,1,1,1,1,3,2,2,3,2,1,3,1,2,0,1,0,1,1,0
1,2,3,1,7,2,1,1,5,1,3,1,3,2,0,0,0,1,1,1,2,2,2,1,1,1,2,0,0,1,1,1,0
2,1,3,1,3,3,2,2,3,2,1,1,3,2,0,0,0,0,1,1,2,3,4,0,1,1,2,0,1,0,1,1,0
3,1,2,1,11,4,2,1,6,1,1,1,3,2,0,0,0,0,2,1,2,3,4,0,1,1,2,1,1,0,1,0,0
4,1,2,1,9,3,1,1,4,1,1,1,2,2,0,1,0,0,3,1,2,3,4,0,1,1,2,0,1,0,1,0,0
5,1,2,1,7,4,2,2,3,1,3,1,3,2,0,1,0,1,1,1,1,1,4,0,1,1,2,0,1,1,1,0,0
6,1,2,1,8,4,2,2,3,1,2,1,2,2,0,0,0,0,1,1,2,3,4,0,1,1,2,0,1,0,1,0,0
7,1,2,1,9,4,1,1,3,1,1,1,3,2,0,0,0,1,1,1,2,3,4,0,1,1,2,0,1,0,1,0,0
8,2,2,1,11,4,2,1,9,1,3,1,3,2,0,0,0,0,1,1,2,1,1,1,1,1,2,1,0,1,1,0,0
9,1,4,1,11,4,2,5,7,4,6,1,2,2,0,0,0,0,1,3,2,3,1,1,3,1,2,1,1,1,1,1,0
10,1,3,1,1,4,2,8,8,1,1,1,2,2,1,0,0,1,2,1,2,3,1,1,5,1,2,0,1,0,1,1,0
11,2,2,1,9,3,2,6,4,4,5,1,3,2,1,1,0,0,1,1,1,3,1,1,3,1,2,0,0,1,1,0,0
12,1,1,10,4,3,2,2,8,1,2,1,1,2,1,0,0,0,1,1,1,3,2,1,1,1,1,0,1,0,0,0,0
13,1,2,1,8,3,1,3,3,1,3,1,1,2,1,1,1,0,1,1,2,3,4,0,2,1,1,0,1,1,1,0,0
